2025-05-25 16:45:43 [INFO] {'UCu0elhwDIhuEIEwJa2xs3fw': 'PDTMYs5nfXY', 'UCu1yyUnlvqj4qZM5WZtUONg': 'knUAOp7eCqo', 'UCg-Fh9r6mN0XjLQLfQOFWOA': 'UOHtl-jJmk8', 'UCmgRYMK5d65PbjN8qkjAUBA': 'hqHx2f8xsOc', 'UCMc4EmuDxnHPc6pgGW-QWvQ': 'MO5O58-XIp8', 'UCQNE2JmbasNYbjGAcuBiRRg': 'KgqMA1aG89k', 'UC_iT-dQV96rPviS4G4p5b9A': 'GFxIwgA5IMc', 'UCQjcWFDrMnv65YizIxcjkPA': 'XLCLvaVbnSY', 'UCXG8hH02Em6_6pF38THOlSg': '4_dLdGbPAjg', 'UCOcC03WTSNOCoAkCDide6jA': 'RNVMT6pozF8', 'UCzmyfZl7lxV-lLZxpSJWsWQ': '-TLSW7CMmn8', 'UCM0h5eNMPQTyZibB9GtW3yA': 'Kdw_61f1t5A', 'UCj-MI9DaXgAz412O9ybQ9WA': 'PIQBGf75atM', 'UCF97u_Y5C3FxAcD0nn1DCKQ': '07VuQ3OCUoQ', 'UCWgXoKQ4rl7SY9UHuAwxvzQ': 'n1KDFs7gUVc', 'UCQ1Rn1d6FfB3x2b0n0J6pMQ': 'eRAKtw7KuHU', 'UCvil4OAt-zShzkKHsg9EQAw': 't6nnOEI0T8k', 'UC8a6z7i9qypp9PqJ_0HhBrw': 'sa_W51LSsxs', 'UCO-e0J-Qsilkv_4tBa3LyYw': 'L1wZOm-FNH4', 'UCQ2DWm5Md16Dc3xRwwhVE7Q': 'DN-FZj5bfsg', 'UC_KjTyC5e0DFNxn6GIgBxcQ': 'dVJONye2emk', 'UCBbJv4YWyu89pP1tg9laatw': 'ZfO07PS5l5s', 'UC9cCBxBAQW2CzLYeT20q49A': 'khunVySdWjo', 'UCPhP8VrLREoTLTON63of0GA': 'KdM_aEW_sG4', 'UCKsJpdKhf5aqxsVo6pxjlcw': '8-Xc_IT5bJw', 'UCK2YrOMgAbsAraGrWyyAvdw': 'Ote4GRpSSyE', 'UCgheNMc3gGHLsT-RISdCzDQ': 'QrRt4d5AUH8', 'UC30q8UbkZhQw9zloU4ZhnZw': 'zZChe_zBd6k', 'UC5ZqaJ9klJrwgsKjYW42JtA': '6rvtIgTOBow', 'UC2xkO7XCiStWfR3fKbzkbqw': 'KL_NFwSj_Ak', 'UC4Aa3OPkMenwTANpf0oWVRQ': 'dUXBiMMQf5g', 'UC80zFRpqbg1rmuQUbO6HABQ': 'UqSbVWxEJQQ', 'UC3hRpIQ4x5niJDwjajQSVPg': 'IZt2nePek_c', 'UC3IZKseVpdzPSBaWxBxundA': 'qssCasVktJk', 'UCm3IV_RvXMOWczBbarPSQSg': 'jVr-4-JJWUE', 'UCyPYQTT20IgzVw92LDvtClw': 'QKKXd6celO0', 'UCbifFcHncE89RrKSm3HlNAg': 'qQoUQxbLYkc', 'UCQZ1iBgGYGSTYhe5RnXsC1w': 'Dgt0XZaFfjw', 'UC4wbC_nZ6xT5RLYf8U4preg': 'w1N684zgYH0', 'UCqC_GY2ZiENFz2pwL0cSfAw': 'ptiT3GmQzys', 'UCCIOK_muw3wg0vWEAkBueAA': 't1wyV9YhgRg', 'UCXA6AK9-wpHs7BjEB2JRZEg': 'MWBPIuKo9J4', 'UCr8P1J6sVkzP9hDGkV5r8AA': 'M1dO94AcXy0'}
2025-05-25 16:45:43 [INFO] [피드 체크 중...]
2025-05-25 16:45:43 [INFO] [UCXG8hH02Em6_6pF38THOlSg] 새 영상 없음(4_dLdGbPAjg)
2025-05-25 16:45:43 [INFO] [UCu0elhwDIhuEIEwJa2xs3fw] 새 영상 없음(PDTMYs5nfXY)
2025-05-25 16:45:43 [INFO] [UCQNE2JmbasNYbjGAcuBiRRg] 새 영상 없음(KgqMA1aG89k)
2025-05-25 16:45:43 [INFO] [UCg-Fh9r6mN0XjLQLfQOFWOA] 새 영상 없음(UOHtl-jJmk8)
2025-05-25 16:45:43 [INFO] [UCmgRYMK5d65PbjN8qkjAUBA] 새 영상 없음(hqHx2f8xsOc)
2025-05-25 16:45:43 [INFO] [UCu1yyUnlvqj4qZM5WZtUONg] 새 영상 없음(knUAOp7eCqo)
2025-05-25 16:45:43 [INFO] [UCMc4EmuDxnHPc6pgGW-QWvQ] 새 영상 없음(MO5O58-XIp8)
2025-05-25 16:45:43 [INFO] [UCQjcWFDrMnv65YizIxcjkPA] 새 영상 없음(XLCLvaVbnSY)
2025-05-25 16:45:43 [INFO] [UC_iT-dQV96rPviS4G4p5b9A] 새 영상 없음(GFxIwgA5IMc)
2025-05-25 16:45:43 [INFO] [UCzmyfZl7lxV-lLZxpSJWsWQ] 새 영상 없음(-TLSW7CMmn8)
2025-05-25 16:45:43 [INFO] [UCOcC03WTSNOCoAkCDide6jA] 새 영상 없음(RNVMT6pozF8)
2025-05-25 16:45:43 [INFO] [UCF97u_Y5C3FxAcD0nn1DCKQ] 새 영상 없음(07VuQ3OCUoQ)
2025-05-25 16:45:43 [INFO] [UCWgXoKQ4rl7SY9UHuAwxvzQ] 새 영상 없음(n1KDFs7gUVc)
2025-05-25 16:45:43 [INFO] [UCj-MI9DaXgAz412O9ybQ9WA] 새 영상 없음(PIQBGf75atM)
2025-05-25 16:45:43 [INFO] [UC8a6z7i9qypp9PqJ_0HhBrw] 새 영상 없음(sa_W51LSsxs)
2025-05-25 16:45:43 [INFO] [UCQ1Rn1d6FfB3x2b0n0J6pMQ] 새 영상 없음(eRAKtw7KuHU)
2025-05-25 16:45:43 [INFO] [UCvil4OAt-zShzkKHsg9EQAw] 새 영상 없음(t6nnOEI0T8k)
2025-05-25 16:45:43 [INFO] [UCO-e0J-Qsilkv_4tBa3LyYw] 새 영상 없음(L1wZOm-FNH4)
2025-05-25 16:45:43 [INFO] [UCM0h5eNMPQTyZibB9GtW3yA] 새 영상 없음(Kdw_61f1t5A)
2025-05-25 16:45:44 [INFO] [UCQ2DWm5Md16Dc3xRwwhVE7Q] 새 영상 없음(DN-FZj5bfsg)
2025-05-25 16:45:44 [INFO] [UCBbJv4YWyu89pP1tg9laatw] 새 영상 없음(ZfO07PS5l5s)
2025-05-25 16:45:44 [INFO] [UCPhP8VrLREoTLTON63of0GA] 새 영상 없음(KdM_aEW_sG4)
2025-05-25 16:45:44 [INFO] [UC9cCBxBAQW2CzLYeT20q49A] 새 영상 없음(khunVySdWjo)
2025-05-25 16:45:44 [INFO] [UCKsJpdKhf5aqxsVo6pxjlcw] 새 영상 없음(8-Xc_IT5bJw)
2025-05-25 16:45:44 [INFO] [UCgheNMc3gGHLsT-RISdCzDQ] 새 영상 없음(QrRt4d5AUH8)
2025-05-25 16:45:44 [INFO] [UCK2YrOMgAbsAraGrWyyAvdw] 새 영상 없음(Ote4GRpSSyE)
